Unnamed: 0,name,type,episodes,members,score_members,rating,genre,dates,url
38,Kino no Tabi: The Beautiful World - Nanika wo Suru Tame ni - Life Goes On.,Movie,1.0,42662.0,19770.0,7.8,"['Adventure', 'Drama', 'Fantasy']",        Feb 2005 - Feb 2005,https://myanimelist.net/anime/1379/Kino_no_Tabi__The_Beautiful_World_-_Nanika_wo_Suru_Tame_ni_-_Life_Goes_On
39,Mind Game,Movie,1.0,54784.0,21651.0,7.8,"['Adventure', 'Comedy', 'Dementia', 'Psychological', 'Romance']",        Aug 2004 - Aug 2004,https://myanimelist.net/anime/875/Mind_Game
40,Mobile Suit Gundam,TV,43.0,86695.0,36947.0,7.8,"['Action', 'Military', 'Sci-Fi', 'Space', 'Mecha']",        Apr 1979 - Jan 1980,https://myanimelist.net/anime/80/Mobile_Suit_Gundam
41,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...My Next Life as a Villainess: All Routes Lead to Doom!,TV,12.0,123557.0,26144.0,7.79,"['Comedy', 'Drama', 'Fantasy', 'Romance', 'School']",        Apr 2020 - ,https://myanimelist.net/anime/38555/Otome_Game_no_Hametsu_Flag_shika_Nai_Akuyaku_Reijou_ni_Tensei_shiteshimatta
42,Owarimonogatari 2nd Season RecapsOwarimonogatari Second Season Recaps,Special,2.0,12823.0,3715.0,7.8,"['Mystery', 'Comedy', 'Supernatural', 'Vampire']",        Aug 2017 - Aug 2017,https://myanimelist.net/anime/36796/Owarimonogatari_2nd_Season_Recaps
43,Pokemon: The OriginPokémon: Origins,Special,4.0,157703.0,106552.0,7.8,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",        Oct 2013 - Oct 2013,https://myanimelist.net/anime/20159/Pokemon__The_Origin
44,The Disappearance of Conan Edogawa: The Worst Two Days in History,Special,1.0,8416.0,4268.0,7.8,"['Adventure', 'Police', 'Comedy', 'Mystery', 'Shounen']",        Dec 2014 - Dec 2014,https://myanimelist.net/anime/21867/The_Disappearance_of_Conan_Edogawa__The_Worst_Two_Days_in_History
45,The Last: Naruto the Movie,Movie,1.0,255165.0,162954.0,7.8,"['Action', 'Super Power', 'Romance', 'Martial Arts', 'Shounen']",        Dec 2014 - Dec 2014,https://myanimelist.net/anime/16870/The_Last__Naruto_the_Movie
46,Zhen Hun JieRakshasa Street,ONA,24.0,15179.0,3689.0,7.8,"['Action', 'Supernatural']",        Apr 2016 - Oct 2016,https://myanimelist.net/anime/33350/Zhen_Hun_Jie
47,Asagao to Kase-san.,OVA,1.0,39040.0,15700.0,7.79,"['Romance', 'School', 'Shoujo Ai']",        Jun 2018 - Jun 2018,https://myanimelist.net/anime/36214/Asagao_to_Kase-san
48,Bungou Stray DogsBungo Stray Dogs,TV,12.0,573072.0,276256.0,7.79,"['Action', 'Comedy', 'Mystery', 'Seinen', 'Super Power', 'Supernatural']",        Apr 2016 - Jun 2016,https://myanimelist.net/anime/31478/Bungou_Stray_Dogs
49,Detective Conan Movie 22: Zero The EnforcerDetective Conan: Zero the Enforcer,Movie,1.0,13332.0,6270.0,7.79,"['Action', 'Drama', 'Mystery', 'Police']",        Apr 2018 - Apr 2018,https://myanimelist.net/anime/35798/Detective_Conan_Movie_22__Zero_The_Enforcer
0,It's Marey O'Clock Now!,Movie,1.0,52.0,,,['Dementia'],        Oct 2018 - Oct 2018,https://myanimelist.net/anime/41489/Its_Marey_OClock_Now
1,It's Show Time!,Music,1.0,133.0,,,['Music'],        Feb 2019 - Feb 2019,https://myanimelist.net/anime/39224/Its_Show_Time
2,Itazura Post,Movie,1.0,249.0,,,['Comedy'],        Jul 1917 - Jul 1917,https://myanimelist.net/anime/23183/Itazura_Post
3,Itazura Tenshi Chippo-chan,TV,240.0,211.0,,,"['Comedy', 'Kids']",        Mar 1970 - Dec 1970,https://myanimelist.net/anime/20025/Itazura_Tenshi_Chippo-chan
4,Itekoma Hits,Music,1.0,82.0,,,"['Music', 'Dementia', 'Psychological']",        Jun 2019 - Jun 2019,https://myanimelist.net/anime/40598/Itekoma_Hits
5,Itoshi no Betty Mamonogatari,Movie,1.0,313.0,,,"['Fantasy', 'Romance', 'Seinen']",        Jul 1986 - Jul 1986,https://myanimelist.net/anime/9496/Itoshi_no_Betty_Mamonogatari
6,Itoshi no Muco OVALovely Muuuuuuuco! OVA,OVA,1.0,321.0,,,"['Comedy', 'Slice of Life']",        Apr 2016 - Apr 2016,https://myanimelist.net/anime/32107/Itoshi_no_Muco_OVA
7,Itsuka no Main: Kaminari Shounen - Tenta Sanjou!,OVA,1.0,227.0,,,"['Action', 'Drama', 'Seinen']",        Feb 1996 - Feb 1996,https://myanimelist.net/anime/23353/Itsuka_no_Main__Kaminari_Shounen_-_Tenta_Sanjou
8,Itsumo Kokoro ni Hohoemi wo,OVA,1.0,66.0,,,['Kids'],        2004 - 2004,https://myanimelist.net/anime/36321/Itsumo_Kokoro_ni_Hohoemi_wo
9,Itsumo Kokoro ni Taiyou wo!,TV,16.0,637.0,,,"['Comedy', 'Ecchi']",        Nov 1999 - Nov 1999,https://myanimelist.net/anime/28071/Itsumo_Kokoro_ni_Taiyou_wo
10,Ittekimasu.,OVA,1.0,70.0,,,['Kids'],         - ,https://myanimelist.net/anime/35174/Ittekimasu
